 "freq,trans1y,wstatus,sex,unit,geo\TIME_PERIOD","2006 ","2007 ","2008 ","2009 ","2010 ","2011 ","2012 ","2013 ","2014 ","2015 ","2016 ","2017 ","2018 ","2019 ","2020 ","2021 ","2022 ","2023 ","2024 ","2025 "
"A,TO_EMP,EMP,F,PC,AL",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","82.3 ","89.8 ","90.6 ","98.3 ",": ",": "
"A,TO_EMP,EMP,F,PC,AT",": ","90.7 ","89.2 ","89.4 ","87.6 ",90.3 b,"88.1 ","87.9 ","89.1 ","88.9 ","89.9 ","89.8 ","89.3 ","90.1 ","88.6 ","89.1 ","89.0 ","87.9 ","90.7 ",": "
"A,TO_EMP,EMP,F,PC,BE",": ","95.3 ","93.3 ","93.5 ","94.5 ","92.7 ","93.0 ","94.0 ","93.0 ","93.6 ","93.1 ","95.5 ","93.9 ",94.3 b,"94.5 ","95.1 ","94.8 ","94.9 ","94.0 ",": "
"A,TO_EMP,EMP,F,PC,BG",": ",": ","88.3 ","91.6 ","92.0 ","90.6 ","94.1 ","94.7 ","92.3 ","93.5 ",93.7 b,"92.5 ","92.7 ","93.4 ","91.3 ","91.6 ","95.1 ","94.7 ","94.7 ","94.2 "
"A,TO_EMP,EMP,F,PC,CH",": ",": ",": ",": ",": ",": ",": ","88.8 ","89.5 ","89.5 ","90.1 ",90.0 b,"90.1 ","92.8 ","92.2 ","91.0 ","92.9 ","92.6 ","91.4 ",": "
"A,TO_EMP,EMP,F,PC,CY",": ","93.8 ","94.0 ","93.5 ","94.3 ","94.0 ","91.7 ","89.1 ","92.8 ","92.6 ","92.4 ","93.7 ","94.6 ","93.9 ","91.6 ","93.0 ","94.1 ","94.4 ","93.8 ",": "
"A,TO_EMP,EMP,F,PC,CZ",": ","92.3 ","92.7 ","89.9 ","90.2 ","91.9 ","92.7 ","92.6 ","93.8 ","93.1 ","93.6 ","93.2 ","94.3 ","94.3 ","93.7 ","92.4 ","94.7 ","94.4 ","95.7 ",": "
"A,TO_EMP,EMP,F,PC,DE",": ","87.3 ","91.1 ","91.3 ","91.0 ","92.3 ","92.0 ","92.9 ","92.1 ","92.5 ","93.1 ","91.8 ","92.3 ","92.1 ","91.9 ",": ",": ",87.6 b,"88.2 ",": "
"A,TO_EMP,EMP,F,PC,DK",": ","90.9 ","89.8 ","93.4 ","90.1 ","89.8 ","84.7 ","88.1 ","89.8 ","92.4 ","93.1 ","93.5 ","92.3 ","90.1 ","89.3 ","89.8 ","92.4 ","92.8 ","91.7 ",": "
"A,TO_EMP,EMP,F,PC,EA",": ",": ",91.1 e,90.3 e,90.9 e,90.4 e,90.4 e,90.9 e,91.4 e,91.8 e,92.1 e,91.7 e,91.7 e,"92.0 ","91.0 ",": ",": ",": ",": ",": "
"A,TO_EMP,EMP,F,PC,EA18",92.1 e,"90.3 ","91.2 ",90.3 e,"90.8 ","90.3 ","90.3 ","90.9 ","91.4 ","91.8 ","92.1 ","91.7 ","91.7 ","92.0 ","91.0 ",": ",": ",": ",": ",": "
"A,TO_EMP,EMP,F,PC,EA19",": ",": ","91.2 ",90.3 e,"90.8 ","90.4 ","90.4 ","91.0 ","91.5 ","91.8 ","92.1 ","91.7 ","91.7 ","92.0 ","91.0 ",": ",": ",": ",": ",": "
"A,TO_EMP,EMP,F,PC,EA20",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","92.0 ","91.0 ","92.8 ","93.2 ","91.1 ","91.8 ",": "
"A,TO_EMP,EMP,F,PC,EE","92.1 ","93.2 ","92.9 ","92.0 ","87.7 ","93.1 ","90.5 ","90.6 ",92.8 b,"92.9 ","90.2 ","92.0 ","92.6 ","92.8 ","89.5 ","90.2 ","92.3 ","92.3 ","92.8 ","90.4 "
"A,TO_EMP,EMP,F,PC,EL","89.4 ","90.3 ","91.8 ","91.5 ","90.6 ","79.9 ","89.3 ","86.8 ","86.0 ","92.9 ","89.9 ","92.5 ","90.5 ","89.0 ","88.4 ","93.8 ","93.1 ","93.4 ","94.6 ",": "
"A,TO_EMP,EMP,F,PC,ES","88.1 ","87.8 ","88.9 ","84.8 ","87.1 ",85.3 b,"84.6 ","87.0 ","88.1 ","90.1 ","90.6 ","88.5 ","88.5 ","89.2 ","86.3 ","91.7 ","93.4 ","91.5 ","91.8 ",": "
"A,TO_EMP,EMP,F,PC,EU",": ",": ",91.4 e,90.7 e,91.2 e,90.9 e,91.0 e,91.5 e,91.9 e,92.5 e,92.6 e,92.2 e,92.2 e,92.4 e,": ",": ",": ",": ",": ",": "
"A,TO_EMP,EMP,F,PC,EU27_2007",": ",90.7 e,"91.4 ",90.7 e,91.2 e,"90.9 ","91.0 ","91.5 ","92.0 ","92.5 ","92.6 ","92.2 ","92.2 ",92.4 e,": ",": ",": ",": ",": ",": "
"A,TO_EMP,EMP,F,PC,EU27_2020",": ",": ",": ",": ",91.2 e,90.8 e,91.0 e,91.6 e,92.1 e,92.3 e,92.6 e,92.2 e,92.2 e,"92.4 ","91.5 ","92.9 ","93.8 ","92.0 ","92.3 ",": "
