freq,hhtyp,incgrp,unit,geo,year,value
A,A1,A_MD60,PC,AL,2003,
A,A1,A_MD60,PC,AT,2003,2.8
A,A1,A_MD60,PC,BE,2003,4.7
A,A1,A_MD60,PC,BG,2003,18.3
A,A1,A_MD60,PC,CH,2003,7.3
A,A1,A_MD60,PC,CY,2003,14.8
A,A1,A_MD60,PC,CZ,2003,3.1
A,A1,A_MD60,PC,DE,2003,4.8
A,A1,A_MD60,PC,DK,2003,4.9
A,A1,A_MD60,PC,EA,2003,
A,A1,A_MD60,PC,EA18,2003,6.2
A,A1,A_MD60,PC,EA19,2003,6.2
A,A1,A_MD60,PC,EA20,2003,
A,A1,A_MD60,PC,EE,2003,3.7
A,A1,A_MD60,PC,EL,2003,24.7
A,A1,A_MD60,PC,ES,2003,5.1
A,A1,A_MD60,PC,EU,2003,
A,A1,A_MD60,PC,EU27_2007,2003,6.5
A,A1,A_MD60,PC,EU27_2020,2003,
A,A1,A_MD60,PC,EU28,2003,
A,A1,A_MD60,PC,FI,2003,6.7
A,A1,A_MD60,PC,FR,2003,7.7
A,A1,A_MD60,PC,HR,2003,
A,A1,A_MD60,PC,HU,2003,8.1
A,A1,A_MD60,PC,IE,2003,2.5
A,A1,A_MD60,PC,IS,2003,8.6
A,A1,A_MD60,PC,IT,2003,7.9
A,A1,A_MD60,PC,LT,2003,5.7
A,A1,A_MD60,PC,LU,2003,2.1
A,A1,A_MD60,PC,LV,2003,9.3
A,A1,A_MD60,PC,ME,2003,
A,A1,A_MD60,PC,MK,2003,
A,A1,A_MD60,PC,MT,2003,6.3
A,A1,A_MD60,PC,NL,2003,4.1
A,A1,A_MD60,PC,NO,2003,9.7
A,A1,A_MD60,PC,PL,2003,10.2
A,A1,A_MD60,PC,PT,2003,3.0
A,A1,A_MD60,PC,RO,2003,8.3
A,A1,A_MD60,PC,RS,2003,
A,A1,A_MD60,PC,SE,2003,6.5
A,A1,A_MD60,PC,SI,2003,5.0
A,A1,A_MD60,PC,SK,2003,4.6
A,A1,A_MD60,PC,TR,2003,18.1
A,A1,A_MD60,PC,UK,2003,6.1
A,A1,A_MD60,PC,XK,2003,
A,A1,B_MD60,PC,AL,2003,
A,A1,B_MD60,PC,AT,2003,5.9
A,A1,B_MD60,PC,BE,2003,11.2
A,A1,B_MD60,PC,BG,2003,27.0
A,A1,B_MD60,PC,CH,2003,11.5
A,A1,B_MD60,PC,CY,2003,13.4
A,A1,B_MD60,PC,CZ,2003,14.2
A,A1,B_MD60,PC,DE,2003,11.6
A,A1,B_MD60,PC,DK,2003,13.7
A,A1,B_MD60,PC,EA,2003,
A,A1,B_MD60,PC,EA18,2003,12.7
A,A1,B_MD60,PC,EA19,2003,12.6
A,A1,B_MD60,PC,EA20,2003,
A,A1,B_MD60,PC,EE,2003,4.8
A,A1,B_MD60,PC,EL,2003,48.4
A,A1,B_MD60,PC,ES,2003,6.5
A,A1,B_MD60,PC,EU,2003,
A,A1,B_MD60,PC,EU27_2007,2003,13.3
A,A1,B_MD60,PC,EU27_2020,2003,
A,A1,B_MD60,PC,EU28,2003,
A,A1,B_MD60,PC,FI,2003,16.0
A,A1,B_MD60,PC,FR,2003,16.9
A,A1,B_MD60,PC,HR,2003,
A,A1,B_MD60,PC,HU,2003,22.0
A,A1,B_MD60,PC,IE,2003,8.0
A,A1,B_MD60,PC,IS,2003,14.7
A,A1,B_MD60,PC,IT,2003,13.4
A,A1,B_MD60,PC,LT,2003,8.3
A,A1,B_MD60,PC,LU,2003,10.1
A,A1,B_MD60,PC,LV,2003,10.9
A,A1,B_MD60,PC,ME,2003,
A,A1,B_MD60,PC,MK,2003,
A,A1,B_MD60,PC,MT,2003,9.4
A,A1,B_MD60,PC,NL,2003,11.0
A,A1,B_MD60,PC,NO,2003,15.5
A,A1,B_MD60,PC,PL,2003,32.2
A,A1,B_MD60,PC,PT,2003,5.4
A,A1,B_MD60,PC,RO,2003,9.1
A,A1,B_MD60,PC,RS,2003,
A,A1,B_MD60,PC,SE,2003,9.2
A,A1,B_MD60,PC,SI,2003,16.4
A,A1,B_MD60,PC,SK,2003,12.0
A,A1,B_MD60,PC,TR,2003,30.0
A,A1,B_MD60,PC,UK,2003,11.9
A,A1,B_MD60,PC,XK,2003,
A,A1,TOTAL,PC,AL,2003,
A,A1,TOTAL,PC,AT,2003,3.4
A,A1,TOTAL,PC,BE,2003,6.4
A,A1,TOTAL,PC,BG,2003,22.2
A,A1,TOTAL,PC,CH,2003,8.2
A,A1,TOTAL,PC,CY,2003,14.2
A,A1,TOTAL,PC,CZ,2003,4.8
A,A1,TOTAL,PC,DE,2003,6.7
A,A1,TOTAL,PC,DK,2003,7.1
A,A1,TOTAL,PC,EA,2003,
A,A1,TOTAL,PC,EA17,2003,
A,A1,TOTAL,PC,EA18,2003,7.8
A,A1,TOTAL,PC,EA19,2003,7.8
A,A1,TOTAL,PC,EA20,2003,
A,A1,TOTAL,PC,EE,2003,4.3
A,A1,TOTAL,PC,EL,2003,31.1
A,A1,TOTAL,PC,ES,2003,5.5
A,A1,TOTAL,PC,EU,2003,
A,A1,TOTAL,PC,EU15,2003,
A,A1,TOTAL,PC,EU27_2007,2003,8.2
A,A1,TOTAL,PC,EU27_2020,2003,
A,A1,TOTAL,PC,EU28,2003,
A,A1,TOTAL,PC,FI,2003,9.7
A,A1,TOTAL,PC,FR,2003,9.4
A,A1,TOTAL,PC,HR,2003,
A,A1,TOTAL,PC,HU,2003,10.2
A,A1,TOTAL,PC,IE,2003,5.0
A,A1,TOTAL,PC,IS,2003,10.1
A,A1,TOTAL,PC,IT,2003,9.4
A,A1,TOTAL,PC,LT,2003,7.0
A,A1,TOTAL,PC,LU,2003,3.3
A,A1,TOTAL,PC,LV,2003,10.2
A,A1,TOTAL,PC,ME,2003,
A,A1,TOTAL,PC,MK,2003,
A,A1,TOTAL,PC,MT,2003,6.9
A,A1,TOTAL,PC,NL,2003,5.1
A,A1,TOTAL,PC,NO,2003,11.1
A,A1,TOTAL,PC,PL,2003,13.6
A,A1,TOTAL,PC,PT,2003,3.8
A,A1,TOTAL,PC,RO,2003,8.6
A,A1,TOTAL,PC,RS,2003,
A,A1,TOTAL,PC,SE,2003,7.0
A,A1,TOTAL,PC,SI,2003,9.5
A,A1,TOTAL,PC,SK,2003,5.9
A,A1,TOTAL,PC,TR,2003,19.5
A,A1,TOTAL,PC,UK,2003,7.7
A,A1,TOTAL,PC,XK,2003,
A,A1F,A_MD60,PC,AL,2003,
A,A1F,A_MD60,PC,AT,2003,1.9
A,A1F,A_MD60,PC,BE,2003,3.8
A,A1F,A_MD60,PC,BG,2003,19.1
A,A1F,A_MD60,PC,CH,2003,5.5
A,A1F,A_MD60,PC,CY,2003,13.4
A,A1F,A_MD60,PC,CZ,2003,1.9
A,A1F,A_MD60,PC,DE,2003,4.2
A,A1F,A_MD60,PC,DK,2003,3.4
A,A1F,A_MD60,PC,EA,2003,
A,A1F,A_MD60,PC,EA18,2003,5.6
A,A1F,A_MD60,PC,EA19,2003,5.6
A,A1F,A_MD60,PC,EA20,2003,
A,A1F,A_MD60,PC,EE,2003,3.4
A,A1F,A_MD60,PC,EL,2003,28.5
A,A1F,A_MD60,PC,ES,2003,4.1
A,A1F,A_MD60,PC,EU,2003,
A,A1F,A_MD60,PC,EU27_2007,2003,5.9
A,A1F,A_MD60,PC,EU27_2020,2003,
A,A1F,A_MD60,PC,EU28,2003,
A,A1F,A_MD60,PC,FI,2003,6.3
A,A1F,A_MD60,PC,FR,2003,6.5
A,A1F,A_MD60,PC,HR,2003,
A,A1F,A_MD60,PC,HU,2003,6.6
A,A1F,A_MD60,PC,IE,2003,2.0
A,A1F,A_MD60,PC,IS,2003,9.4
A,A1F,A_MD60,PC,IT,2003,7.6
A,A1F,A_MD60,PC,LT,2003,6.0
A,A1F,A_MD60,PC,LU,2003,2.1
A,A1F,A_MD60,PC,LV,2003,8.2
A,A1F,A_MD60,PC,ME,2003,
A,A1F,A_MD60,PC,MK,2003,
A,A1F,A_MD60,PC,MT,2003,5.7
A,A1F,A_MD60,PC,NL,2003,3.1
A,A1F,A_MD60,PC,NO,2003,7.8
A,A1F,A_MD60,PC,PL,2003,9.9
A,A1F,A_MD60,PC,PT,2003,3.7
A,A1F,A_MD60,PC,RO,2003,9.6
A,A1F,A_MD60,PC,RS,2003,
A,A1F,A_MD60,PC,SE,2003,4.1
A,A1F,A_MD60,PC,SI,2003,5.0
A,A1F,A_MD60,PC,SK,2003,4.6
A,A1F,A_MD60,PC,TR,2003,18.1
A,A1F,A_MD60,PC,UK,2003,5.0
A,A1F,A_MD60,PC,XK,2003,
A,A1F,B_MD60,PC,AL,2003,
A,A1F,B_MD60,PC,AT,2003,2.0
A,A1F,B_MD60,PC,BE,2003,6.9
A,A1F,B_MD60,PC,BG,2003,24.3
A,A1F,B_MD60,PC,CH,2003,10.3
A,A1F,B_MD60,PC,CY,2003,14.9
A,A1F,B_MD60,PC,CZ,2003,6.7
A,A1F,B_MD60,PC,DE,2003,9.0
A,A1F,B_MD60,PC,DK,2003,11.3
A,A1F,B_MD60,PC,EA,2003,
A,A1F,B_MD60,PC,EA18,2003,10.0
A,A1F,B_MD60,PC,EA19,2003,10.0
A,A1F,B_MD60,PC,EA20,2003,
A,A1F,B_MD60,PC,EE,2003,2.3
A,A1F,B_MD60,PC,EL,2003,46.4
A,A1F,B_MD60,PC,ES,2003,3.8
A,A1F,B_MD60,PC,EU,2003,
A,A1F,B_MD60,PC,EU27_2007,2003,10.0
A,A1F,B_MD60,PC,EU27_2020,2003,
A,A1F,B_MD60,PC,EU28,2003,
A,A1F,B_MD60,PC,FI,2003,11.2
A,A1F,B_MD60,PC,FR,2003,14.1
A,A1F,B_MD60,PC,HR,2003,
A,A1F,B_MD60,PC,HU,2003,12.3
A,A1F,B_MD60,PC,IE,2003,4.7
A,A1F,B_MD60,PC,IS,2003,7.5
A,A1F,B_MD60,PC,IT,2003,11.6
A,A1F,B_MD60,PC,LT,2003,7.4
A,A1F,B_MD60,PC,LU,2003,12.3
A,A1F,B_MD60,PC,LV,2003,8.6
A,A1F,B_MD60,PC,ME,2003,
A,A1F,B_MD60,PC,MK,2003,
A,A1F,B_MD60,PC,MT,2003,11.0
A,A1F,B_MD60,PC,NL,2003,7.5
A,A1F,B_MD60,PC,NO,2003,9.8
A,A1F,B_MD60,PC,PL,2003,27.0
A,A1F,B_MD60,PC,PT,2003,6.0
A,A1F,B_MD60,PC,RO,2003,8.2
A,A1F,B_MD60,PC,RS,2003,
A,A1F,B_MD60,PC,SE,2003,4.6
A,A1F,B_MD60,PC,SI,2003,8.7
A,A1F,B_MD60,PC,SK,2003,9.6
A,A1F,B_MD60,PC,TR,2003,28.1
A,A1F,B_MD60,PC,UK,2003,5.6
A,A1F,B_MD60,PC,XK,2003,
A,A1F,TOTAL,PC,AL,2003,
A,A1F,TOTAL,PC,AT,2003,1.9
A,A1F,TOTAL,PC,BE,2003,4.7
A,A1F,TOTAL,PC,BG,2003,22.0
A,A1F,TOTAL,PC,CH,2003,6.7
A,A1F,TOTAL,PC,CY,2003,14.2
A,A1F,TOTAL,PC,CZ,2003,2.7
A,A1F,TOTAL,PC,DE,2003,5.6
A,A1F,TOTAL,PC,DK,2003,5.4
A,A1F,TOTAL,PC,EA,2003,
A,A1F,TOTAL,PC,EA17,2003,
A,A1F,TOTAL,PC,EA18,2003,6.8
A,A1F,TOTAL,PC,EA19,2003,6.8
A,A1F,TOTAL,PC,EA20,2003,
A,A1F,TOTAL,PC,EE,2003,2.8
A,A1F,TOTAL,PC,EL,2003,33.6
A,A1F,TOTAL,PC,ES,2003,4.0
A,A1F,TOTAL,PC,EU,2003,
A,A1F,TOTAL,PC,EU15,2003,
A,A1F,TOTAL,PC,EU27_2007,2003,7.0
A,A1F,TOTAL,PC,EU27_2020,2003,
A,A1F,TOTAL,PC,EU28,2003,
A,A1F,TOTAL,PC,FI,2003,7.8
A,A1F,TOTAL,PC,FR,2003,7.9
A,A1F,TOTAL,PC,HR,2003,
A,A1F,TOTAL,PC,HU,2003,7.4
A,A1F,TOTAL,PC,IE,2003,3.4
A,A1F,TOTAL,PC,IS,2003,8.8
A,A1F,TOTAL,PC,IT,2003,8.9
A,A1F,TOTAL,PC,LT,2003,6.8
A,A1F,TOTAL,PC,LU,2003,3.5
A,A1F,TOTAL,PC,LV,2003,8.5
A,A1F,TOTAL,PC,ME,2003,
A,A1F,TOTAL,PC,MK,2003,
A,A1F,TOTAL,PC,MT,2003,6.8
A,A1F,TOTAL,PC,NL,2003,3.8
A,A1F,TOTAL,PC,NO,2003,8.4
A,A1F,TOTAL,PC,PL,2003,11.9
A,A1F,TOTAL,PC,PT,2003,4.6
A,A1F,TOTAL,PC,RO,2003,9.0
A,A1F,TOTAL,PC,RS,2003,
A,A1F,TOTAL,PC,SE,2003,4.2
A,A1F,TOTAL,PC,SI,2003,6.6
A,A1F,TOTAL,PC,SK,2003,5.5
A,A1F,TOTAL,PC,TR,2003,19.5
A,A1F,TOTAL,PC,UK,2003,5.2
A,A1F,TOTAL,PC,XK,2003,
A,A1M,A_MD60,PC,AL,2003,
A,A1M,A_MD60,PC,AT,2003,3.8
A,A1M,A_MD60,PC,BE,2003,5.7
A,A1M,A_MD60,PC,BG,2003,17.5
A,A1M,A_MD60,PC,CH,2003,9.7
A,A1M,A_MD60,PC,CY,2003,16.2
A,A1M,A_MD60,PC,CZ,2003,4.8
A,A1M,A_MD60,PC,DE,2003,5.6
A,A1M,A_MD60,PC,DK,2003,6.4
A,A1M,A_MD60,PC,EA,2003,
A,A1M,A_MD60,PC,EA18,2003,7.0
A,A1M,A_MD60,PC,EA19,2003,7.0
A,A1M,A_MD60,PC,EA20,2003,
A,A1M,A_MD60,PC,EE,2003,4.2
A,A1M,A_MD60,PC,EL,2003,18.1
A,A1M,A_MD60,PC,ES,2003,6.0
A,A1M,A_MD60,PC,EU,2003,
A,A1M,A_MD60,PC,EU27_2007,2003,7.3
A,A1M,A_MD60,PC,EU27_2020,2003,
A,A1M,A_MD60,PC,EU28,2003,
A,A1M,A_MD60,PC,FI,2003,7.2
A,A1M,A_MD60,PC,FR,2003,9.5
A,A1M,A_MD60,PC,HR,2003,
A,A1M,A_MD60,PC,HU,2003,11.8
A,A1M,A_MD60,PC,IE,2003,2.9
A,A1M,A_MD60,PC,IS,2003,8.0
A,A1M,A_MD60,PC,IT,2003,8.2
A,A1M,A_MD60,PC,LT,2003,5.0
A,A1M,A_MD60,PC,LU,2003,2.1
A,A1M,A_MD60,PC,LV,2003,11.1
A,A1M,A_MD60,PC,ME,2003,
A,A1M,A_MD60,PC,MK,2003,
A,A1M,A_MD60,PC,MT,2003,7.1
A,A1M,A_MD60,PC,NL,2003,5.2
A,A1M,A_MD60,PC,NO,2003,11.3
A,A1M,A_MD60,PC,PL,2003,10.9
A,A1M,A_MD60,PC,PT,2003,1.7
A,A1M,A_MD60,PC,RO,2003,6.6
A,A1M,A_MD60,PC,RS,2003,
A,A1M,A_MD60,PC,SE,2003,9.4
A,A1M,A_MD60,PC,SI,2003,5.0
A,A1M,A_MD60,PC,SK,2003,4.8
A,A1M,A_MD60,PC,TR,2003,18.1
A,A1M,A_MD60,PC,UK,2003,7.3
A,A1M,A_MD60,PC,XK,2003,
A,A1M,B_MD60,PC,AL,2003,
A,A1M,B_MD60,PC,AT,2003,15.1
A,A1M,B_MD60,PC,BE,2003,17.3
A,A1M,B_MD60,PC,BG,2003,35.1
A,A1M,B_MD60,PC,CH,2003,14.4
A,A1M,B_MD60,PC,CY,2003,9.0
A,A1M,B_MD60,PC,CZ,2003,28.4
A,A1M,B_MD60,PC,DE,2003,16.1
A,A1M,B_MD60,PC,DK,2003,16.5
A,A1M,B_MD60,PC,EA,2003,
A,A1M,B_MD60,PC,EA18,2003,17.6
A,A1M,B_MD60,PC,EA19,2003,17.5
A,A1M,B_MD60,PC,EA20,2003,
A,A1M,B_MD60,PC,EE,2003,11.0
A,A1M,B_MD60,PC,EL,2003,52.5
A,A1M,B_MD60,PC,ES,2003,12.3
A,A1M,B_MD60,PC,EU,2003,
A,A1M,B_MD60,PC,EU27_2007,2003,19.2
A,A1M,B_MD60,PC,EU27_2020,2003,
A,A1M,B_MD60,PC,EU28,2003,
A,A1M,B_MD60,PC,FI,2003,22.4
A,A1M,B_MD60,PC,FR,2003,20.8
A,A1M,B_MD60,PC,HR,2003,
A,A1M,B_MD60,PC,HU,2003,37.6
A,A1M,B_MD60,PC,IE,2003,12.0
A,A1M,B_MD60,PC,IS,2003,23.4
A,A1M,B_MD60,PC,IT,2003,18.3
A,A1M,B_MD60,PC,LT,2003,10.9
A,A1M,B_MD60,PC,LU,2003,7.8
A,A1M,B_MD60,PC,LV,2003,18.1
A,A1M,B_MD60,PC,ME,2003,
A,A1M,B_MD60,PC,MK,2003,
A,A1M,B_MD60,PC,MT,2003,6.6
A,A1M,B_MD60,PC,NL,2003,16.4
A,A1M,B_MD60,PC,NO,2003,24.4
A,A1M,B_MD60,PC,PL,2003,37.5
A,A1M,B_MD60,PC,PT,2003,3.6
A,A1M,B_MD60,PC,RO,2003,11.6
A,A1M,B_MD60,PC,RS,2003,
A,A1M,B_MD60,PC,SE,2003,14.1
A,A1M,B_MD60,PC,SI,2003,36.0
A,A1M,B_MD60,PC,SK,2003,21.0
A,A1M,B_MD60,PC,TR,2003,38.6
A,A1M,B_MD60,PC,UK,2003,21.1
A,A1M,B_MD60,PC,XK,2003,
A,A1M,TOTAL,PC,AL,2003,
A,A1M,TOTAL,PC,AT,2003,5.4
A,A1M,TOTAL,PC,BE,2003,8.3
A,A1M,TOTAL,PC,BG,2003,22.6
A,A1M,TOTAL,PC,CH,2003,10.4
A,A1M,TOTAL,PC,CY,2003,14.1
A,A1M,TOTAL,PC,CZ,2003,8.1
A,A1M,TOTAL,PC,DE,2003,8.2
A,A1M,TOTAL,PC,DK,2003,8.9
A,A1M,TOTAL,PC,EA,2003,
A,A1M,TOTAL,PC,EA17,2003,
A,A1M,TOTAL,PC,EA18,2003,9.2
A,A1M,TOTAL,PC,EA19,2003,9.2
A,A1M,TOTAL,PC,EA20,2003,
A,A1M,TOTAL,PC,EE,2003,7.0
A,A1M,TOTAL,PC,EL,2003,26.6
A,A1M,TOTAL,PC,ES,2003,7.4
A,A1M,TOTAL,PC,EU,2003,
A,A1M,TOTAL,PC,EU15,2003,
A,A1M,TOTAL,PC,EU27_2007,2003,9.9
A,A1M,TOTAL,PC,EU27_2020,2003,
A,A1M,TOTAL,PC,EU28,2003,
A,A1M,TOTAL,PC,FI,2003,12.0
A,A1M,TOTAL,PC,FR,2003,11.5
A,A1M,TOTAL,PC,HR,2003,
A,A1M,TOTAL,PC,HU,2003,17.0
A,A1M,TOTAL,PC,IE,2003,6.5
A,A1M,TOTAL,PC,IS,2003,11.3
A,A1M,TOTAL,PC,IT,2003,10.1
A,A1M,TOTAL,PC,LT,2003,7.4
A,A1M,TOTAL,PC,LU,2003,3.1
A,A1M,TOTAL,PC,LV,2003,14.2
A,A1M,TOTAL,PC,ME,2003,
A,A1M,TOTAL,PC,MK,2003,
A,A1M,TOTAL,PC,MT,2003,7.0
A,A1M,TOTAL,PC,NL,2003,6.7
A,A1M,TOTAL,PC,NO,2003,13.7
A,A1M,TOTAL,PC,PL,2003,17.3
A,A1M,TOTAL,PC,PT,2003,2.2
A,A1M,TOTAL,PC,RO,2003,7.9
A,A1M,TOTAL,PC,RS,2003,
A,A1M,TOTAL,PC,SE,2003,10.4
A,A1M,TOTAL,PC,SI,2003,15.2
A,A1M,TOTAL,PC,SK,2003,7.3
A,A1M,TOTAL,PC,TR,2003,19.6
A,A1M,TOTAL,PC,UK,2003,10.7
A,A1M,TOTAL,PC,XK,2003,
A,A1_DCH,A_MD60,PC,AL,2003,
A,A1_DCH,A_MD60,PC,AT,2003,6.3
A,A1_DCH,A_MD60,PC,BE,2003,10.4
A,A1_DCH,A_MD60,PC,BG,2003,25.7
A,A1_DCH,A_MD60,PC,CH,2003,17.6
A,A1_DCH,A_MD60,PC,CY,2003,43.7
A,A1_DCH,A_MD60,PC,CZ,2003,8.2
A,A1_DCH,A_MD60,PC,DE,2003,10.8
A,A1_DCH,A_MD60,PC,DK,2003,13.0
A,A1_DCH,A_MD60,PC,EA,2003,
A,A1_DCH,A_MD60,PC,EA18,2003,14.1
A,A1_DCH,A_MD60,PC,EA19,2003,14.1
A,A1_DCH,A_MD60,PC,EA20,2003,
A,A1_DCH,A_MD60,PC,EE,2003,6.5
A,A1_DCH,A_MD60,PC,EL,2003,42.7
A,A1_DCH,A_MD60,PC,ES,2003,11.5
A,A1_DCH,A_MD60,PC,EU,2003,
A,A1_DCH,A_MD60,PC,EU27_2007,2003,16.7
A,A1_DCH,A_MD60,PC,EU27_2020,2003,
A,A1_DCH,A_MD60,PC,EU28,2003,
A,A1_DCH,A_MD60,PC,FI,2003,19.0
A,A1_DCH,A_MD60,PC,FR,2003,19.5
A,A1_DCH,A_MD60,PC,HR,2003,
A,A1_DCH,A_MD60,PC,HU,2003,23.5
A,A1_DCH,A_MD60,PC,IE,2003,23.6
A,A1_DCH,A_MD60,PC,IS,2003,27.4
A,A1_DCH,A_MD60,PC,IT,2003,10.6
A,A1_DCH,A_MD60,PC,LT,2003,14.5
A,A1_DCH,A_MD60,PC,LU,2003,0.5
A,A1_DCH,A_MD60,PC,LV,2003,12.8
A,A1_DCH,A_MD60,PC,ME,2003,
A,A1_DCH,A_MD60,PC,MK,2003,
A,A1_DCH,A_MD60,PC,MT,2003,4.0
