dim0,dim1,dim2,dim3,dim4,geo,year,value
A,TO_EMP,EMP,F,PC,AL,2006,
A,TO_EMP,EMP,F,PC,AT,2006,90.3
A,TO_EMP,EMP,F,PC,BE,2006,92.7
A,TO_EMP,EMP,F,PC,BG,2006,90.6
A,TO_EMP,EMP,F,PC,CH,2006,
A,TO_EMP,EMP,F,PC,CY,2006,94.0
A,TO_EMP,EMP,F,PC,CZ,2006,91.9
A,TO_EMP,EMP,F,PC,DE,2006,92.3
A,TO_EMP,EMP,F,PC,DK,2006,89.8
A,TO_EMP,EMP,F,PC,EA,2006,90.4
A,TO_EMP,EMP,F,PC,EA18,2006,90.3
A,TO_EMP,EMP,F,PC,EA19,2006,90.4
A,TO_EMP,EMP,F,PC,EA20,2006,
A,TO_EMP,EMP,F,PC,EE,2006,93.1
A,TO_EMP,EMP,F,PC,EL,2006,79.9
A,TO_EMP,EMP,F,PC,ES,2006,85.3
A,TO_EMP,EMP,F,PC,EU,2006,90.9
A,TO_EMP,EMP,F,PC,EU27_2007,2006,90.9
A,TO_EMP,EMP,F,PC,EU27_2020,2006,90.8
A,TO_EMP,EMP,F,PC,EU28,2006,90.9
A,TO_EMP,EMP,F,PC,FI,2006,87.3
A,TO_EMP,EMP,F,PC,FR,2006,93.4
A,TO_EMP,EMP,F,PC,HR,2006,89.5
A,TO_EMP,EMP,F,PC,HU,2006,91.0
A,TO_EMP,EMP,F,PC,IE,2006,91.8
A,TO_EMP,EMP,F,PC,IS,2006,91.8
A,TO_EMP,EMP,F,PC,IT,2006,86.6
A,TO_EMP,EMP,F,PC,LT,2006,92.8
A,TO_EMP,EMP,F,PC,LU,2006,92.9
A,TO_EMP,EMP,F,PC,LV,2006,88.2
A,TO_EMP,EMP,F,PC,ME,2006,
A,TO_EMP,EMP,F,PC,MK,2006,
A,TO_EMP,EMP,F,PC,MT,2006,94.5
A,TO_EMP,EMP,F,PC,NL,2006,94.7
A,TO_EMP,EMP,F,PC,NO,2006,93.0
A,TO_EMP,EMP,F,PC,PL,2006,91.7
A,TO_EMP,EMP,F,PC,PT,2006,91.1
A,TO_EMP,EMP,F,PC,RO,2006,95.7
A,TO_EMP,EMP,F,PC,RS,2006,
A,TO_EMP,EMP,F,PC,SE,2006,93.1
A,TO_EMP,EMP,F,PC,SI,2006,
A,TO_EMP,EMP,F,PC,SK,2006,94.5
A,TO_EMP,EMP,F,PC,TR,2006,
A,TO_EMP,EMP,F,PC,UK,2006,91.3
A,TO_EMP,EMP,M,PC,AL,2006,
A,TO_EMP,EMP,M,PC,AT,2006,93.3
A,TO_EMP,EMP,M,PC,BE,2006,94.3
A,TO_EMP,EMP,M,PC,BG,2006,90.8
A,TO_EMP,EMP,M,PC,CH,2006,
A,TO_EMP,EMP,M,PC,CY,2006,93.2
A,TO_EMP,EMP,M,PC,CZ,2006,95.4
A,TO_EMP,EMP,M,PC,DE,2006,96.0
A,TO_EMP,EMP,M,PC,DK,2006,86.7
A,TO_EMP,EMP,M,PC,EA,2006,92.2
A,TO_EMP,EMP,M,PC,EA18,2006,92.2
A,TO_EMP,EMP,M,PC,EA19,2006,92.2
A,TO_EMP,EMP,M,PC,EA20,2006,
